0.015 pkt: 0 | sent
11.905 ACK: 478 | received
11.925 pkt: 486 | sent
11.945 ACK: 479 | received
11.945 pkt: 487 | sent
11.971 ACK: 480 | received
11.971 pkt: 488 | sent
11.986 ACK: 481 | received
12.005 pkt: 489 | sent
12.020 ACK: 482 | received
12.020 pkt: 490 | sent
12.036 ACK: 483 | received
12.052 pkt: 491 | sent
12.067 ACK: 484 | received
12.083 pkt: 492 | sent
12.083 ACK: 485 | received
12.107 pkt: 493 | sent
12.122 ACK: 486 | received
12.122 pkt: 494 | sent
12.138 ACK: 487 | received
12.154 pkt: 495 | sent
12.169 ACK: 488 | received
12.185 pkt: 496 | sent
12.200 ACK: 489 | received
12.200 pkt: 497 | sent
12.216 ACK: 490 | received
12.232 pkt: 498 | sent
12.247 ACK: 491 | received
12.247 pkt: 499 | sent
12.263 ACK: 492 | received
12.263 pkt: 500 | sent
12.279 ACK: 493 | received
12.294 pkt: 501 | sent
12.310 ACK: 494 | received
12.325 pkt: 502 | sent
12.341 ACK: 495 | received
12.341 pkt: 503 | sent
12.357 ACK: 496 | received
12.372 pkt: 504 | sent
12.391 ACK: 497 | received
12.399 pkt: 505 | sent
12.416 ACK: 498 | received
12.420 pkt: 506 | sent
12.436 ACK: 499 | received
12.452 pkt: 507 | sent
12.452 ACK: 500 | received
12.468 pkt: 508 | sent
12.483 ACK: 501 | received
12.483 pkt: 509 | sent
12.515 ACK: 502 | received
12.515 pkt: 510 | sent
12.546 ACK: 503 | received
12.546 pkt: 511 | sent
12.561 ACK: 504 | received
12.577 pkt: 512 | sent
12.593 ACK: 505 | received
12.593 pkt: 513 | sent
12.622 ACK: 506 | received
12.631 pkt: 514 | sent
12.650 ACK: 507 | received
12.659 pkt: 515 | sent
12.675 ACK: 508 | received
12.675 pkt: 516 | sent
12.690 ACK: 509 | received
12.706 pkt: 517 | sent
12.721 ACK: 510 | received
12.737 pkt: 518 | sent
12.752 ACK: 511 | received
12.768 pkt: 519 | sent
12.784 ACK: 512 | received
12.799 pkt: 520 | sent
12.815 ACK: 513 | received
12.815 pkt: 521 | sent
12.831 ACK: 514 | received
12.846 pkt: 522 | sent
12.877 ACK: 515 | received
12.877 pkt: 523 | sent
12.893 ACK: 516 | received
12.909 pkt: 524 | sent
12.924 ACK: 517 | received
12.940 pkt: 525 | sent
12.956 ACK: 518 | received
12.971 pkt: 526 | sent
12.987 ACK: 519 | received
13.020 pkt: 527 | sent
13.036 ACK: 520 | received
13.037 pkt: 528 | sent
13.053 ACK: 521 | received
13.053 pkt: 529 | sent
13.084 ACK: 522 | received
13.084 pkt: 530 | sent
13.100 ACK: 523 | received
13.121 pkt: 531 | sent
13.136 ACK: 524 | received
13.136 pkt: 532 | sent
13.152 ACK: 525 | received
13.168 pkt: 533 | sent
13.183 ACK: 526 | received
13.183 pkt: 534 | sent
13.199 ACK: 527 | received
13.215 pkt: 535 | sent
13.230 ACK: 528 | received
13.230 pkt: 536 | sent
13.246 ACK: 529 | received
13.266 pkt: 537 | sent
13.276 ACK: 530 | received
13.276 pkt: 538 | sent
13.292 ACK: 531 | received
13.292 pkt: 539 | sent
13.307 ACK: 532 | received
13.323 pkt: 540 | sent
13.323 ACK: 533 | received
13.338 pkt: 541 | sent
13.354 ACK: 534 | received
13.354 pkt: 542 | sent
13.385 ACK: 535 | received
13.393 pkt: 543 | sent
13.408 ACK: 536 | received
13.410 pkt: 544 | sent
13.451 ACK: 537 | received
13.457 pkt: 545 | sent
13.473 ACK: 538 | received
13.484 pkt: 546 | sent
13.487 ACK: 539 | received
13.502 pkt: 547 | sent
13.518 ACK: 540 | received
13.534 pkt: 548 | sent
13.549 ACK: 541 | received
13.549 pkt: 549 | sent
13.565 ACK: 542 | received
13.581 pkt: 550 | sent
13.604 ACK: 543 | received
13.604 pkt: 551 | sent
13.620 ACK: 544 | received
13.636 pkt: 552 | sent
13.656 ACK: 545 | received
13.671 pkt: 553 | sent
13.687 ACK: 546 | received
13.687 pkt: 554 | sent
13.702 ACK: 547 | received
13.718 pkt: 555 | sent
13.733 ACK: 548 | received
13.733 pkt: 556 | sent
13.765 ACK: 549 | received
13.765 pkt: 557 | sent
13.780 ACK: 550 | received
13.796 pkt: 558 | sent
13.812 ACK: 551 | received
13.827 pkt: 559 | sent
13.843 ACK: 552 | received
13.843 pkt: 560 | sent
13.858 ACK: 553 | received
13.874 pkt: 561 | sent
13.890 ACK: 554 | received
13.890 pkt: 562 | sent
13.921 ACK: 555 | received
13.921 pkt: 563 | sent
13.937 ACK: 556 | received
13.952 pkt: 564 | sent
13.952 ACK: 557 | received
13.968 pkt: 565 | sent
13.983 ACK: 558 | received
13.999 pkt: 566 | sent
14.015 ACK: 559 | received
14.030 pkt: 567 | sent
14.030 ACK: 560 | received
14.046 pkt: 568 | sent
14.061 ACK: 561 | received
14.077 pkt: 569 | sent
14.093 ACK: 562 | received
14.106 pkt: 570 | sent
14.122 ACK: 563 | received
14.122 pkt: 571 | sent
14.231 ACK: 564 | received
14.246 pkt: 572 | sent
14.262 ACK: 565 | received
14.262 pkt: 573 | sent
14.293 ACK: 566 | received
14.309 pkt: 574 | sent
14.324 ACK: 567 | received
14.340 pkt: 575 | sent
14.364 ACK: 568 | received
14.378 pkt: 576 | sent
14.397 ACK: 569 | received
14.411 pkt: 577 | sent
14.426 ACK: 570 | received
14.426 pkt: 578 | sent
14.458 ACK: 571 | received
14.458 pkt: 579 | sent
14.473 ACK: 572 | received
14.489 pkt: 580 | sent
14.505 ACK: 573 | received
14.520 pkt: 581 | sent
14.536 ACK: 574 | received
14.551 pkt: 582 | sent
14.583 ACK: 575 | received
14.583 pkt: 583 | sent
14.598 ACK: 576 | received
14.614 pkt: 584 | sent
14.614 ACK: 577 | received
14.630 pkt: 585 | sent
14.643 ACK: 578 | received
14.658 pkt: 586 | sent
14.693 ACK: 579 | received
14.709 pkt: 587 | sent
14.740 ACK: 580 | received
14.756 pkt: 588 | sent
14.787 ACK: 581 | received
14.803 pkt: 589 | sent
14.834 ACK: 582 | received
14.850 pkt: 590 | sent
14.881 ACK: 583 | received
14.881 pkt: 591 | sent
14.912 ACK: 584 | received
14.928 pkt: 592 | sent
14.959 ACK: 585 | received
14.959 pkt: 593 | sent
14.990 ACK: 586 | received
15.006 pkt: 594 | sent
15.037 ACK: 587 | received
15.037 pkt: 595 | sent
15.068 ACK: 588 | received
15.068 pkt: 596 | sent
15.108 ACK: 589 | received
15.108 pkt: 597 | sent
15.155 ACK: 590 | received
15.155 pkt: 598 | sent
15.186 ACK: 591 | received
15.202 pkt: 599 | sent
15.233 ACK: 592 | received
15.239 pkt: 600 | sent
15.270 ACK: 593 | received
15.270 pkt: 601 | sent
15.301 ACK: 594 | received
15.301 pkt: 602 | sent
15.333 ACK: 595 | received
15.348 pkt: 603 | sent
15.364 ACK: 596 | received
15.379 pkt: 604 | sent
15.468 ACK: 597 | received
15.468 pkt: 605 | sent
15.483 ACK: 598 | received
15.499 pkt: 606 | sent
15.515 ACK: 599 | received
15.515 pkt: 607 | sent
15.530 ACK: 600 | received
15.546 pkt: 608 | sent
15.577 ACK: 601 | received
15.577 pkt: 609 | sent
15.624 ACK: 602 | received
15.624 pkt: 610 | sent
15.654 ACK: 603 | received
15.670 pkt: 611 | sent
15.701 ACK: 604 | received
15.701 pkt: 612 | sent
15.732 ACK: 605 | received
15.748 pkt: 613 | sent
15.772 ACK: 606 | received
15.772 pkt: 614 | sent
15.788 ACK: 607 | received
15.804 pkt: 615 | sent
15.820 ACK: 608 | received
15.835 pkt: 616 | sent
15.851 ACK: 609 | received
15.851 pkt: 617 | sent
15.866 ACK: 610 | received
15.882 pkt: 618 | sent
15.979 ACK: 611 | received
15.979 pkt: 619 | sent
16.010 ACK: 612 | received
16.026 pkt: 620 | sent
16.041 ACK: 613 | received
16.041 pkt: 621 | sent
16.057 ACK: 614 | received
16.073 pkt: 622 | sent
16.088 ACK: 615 | received
16.088 pkt: 623 | sent
16.114 ACK: 616 | received
16.114 pkt: 624 | sent
16.129 ACK: 617 | received
16.145 pkt: 625 | sent
16.161 ACK: 618 | received
16.161 pkt: 626 | sent
16.176 ACK: 619 | received
16.192 pkt: 627 | sent
16.208 ACK: 620 | received
16.208 pkt: 628 | sent
16.239 ACK: 621 | received
16.254 pkt: 629 | sent
16.270 ACK: 622 | received
16.270 pkt: 630 | sent
16.286 ACK: 623 | received
16.301 pkt: 631 | sent
16.317 ACK: 624 | received
16.317 pkt: 632 | sent
16.364 ACK: 625 | received
16.379 pkt: 633 | sent
16.406 ACK: 626 | received
16.414 pkt: 634 | sent
16.427 ACK: 627 | received
16.433 pkt: 635 | sent
16.460 ACK: 628 | received
16.475 pkt: 636 | sent
16.475 ACK: 629 | received
16.491 pkt: 637 | sent
16.507 ACK: 630 | received
16.522 pkt: 638 | sent
16.538 ACK: 631 | received
16.538 pkt: 639 | sent
16.553 ACK: 632 | received
16.569 pkt: 640 | sent
16.585 ACK: 633 | received
16.600 pkt: 641 | sent
16.616 ACK: 634 | received
16.632 pkt: 642 | sent
16.647 ACK: 635 | received
16.647 pkt: 643 | sent
16.678 ACK: 636 | received
16.678 pkt: 644 | sent
16.694 ACK: 637 | received
16.710 pkt: 645 | sent
16.725 ACK: 638 | received
16.725 pkt: 646 | sent
16.756 ACK: 639 | received
16.756 pkt: 647 | sent
16.772 ACK: 640 | received
16.788 pkt: 648 | sent
16.803 ACK: 641 | received
16.803 pkt: 649 | sent
16.819 ACK: 642 | received
16.835 pkt: 650 | sent
16.850 ACK: 643 | received
16.866 pkt: 651 | sent
16.881 ACK: 644 | received
16.881 pkt: 652 | sent
16.897 ACK: 645 | received
16.913 pkt: 653 | sent
16.928 ACK: 646 | received
16.928 pkt: 654 | sent
16.944 ACK: 647 | received
16.960 pkt: 655 | sent
16.991 ACK: 648 | received
16.991 pkt: 656 | sent
17.006 ACK: 649 | received
17.022 pkt: 657 | sent
17.038 ACK: 650 | received
17.053 pkt: 658 | sent
17.069 ACK: 651 | received
17.069 pkt: 659 | sent
17.085 ACK: 652 | received
17.100 pkt: 660 | sent
17.116 ACK: 653 | received
17.131 pkt: 661 | sent
17.147 ACK: 654 | received
17.162 pkt: 662 | sent
17.178 ACK: 655 | received
17.193 pkt: 663 | sent
17.209 ACK: 656 | received
17.225 pkt: 664 | sent
17.225 ACK: 657 | received
17.240 pkt: 665 | sent
17.256 ACK: 658 | received
17.272 pkt: 666 | sent
17.287 ACK: 659 | received
17.303 pkt: 667 | sent
17.303 ACK: 660 | received
17.318 pkt: 668 | sent
17.318 ACK: 661 | received
17.334 pkt: 669 | sent
17.350 ACK: 662 | received
17.350 pkt: 670 | sent
17.381 ACK: 663 | received
17.398 pkt: 671 | sent
17.411 ACK: 664 | received
17.421 pkt: 672 | sent
17.421 ACK: 665 | received
17.436 pkt: 673 | sent
17.452 ACK: 666 | received
17.478 pkt: 674 | sent
17.494 ACK: 667 | received
17.494 pkt: 675 | sent
17.509 ACK: 668 | received
17.525 pkt: 676 | sent
17.541 ACK: 669 | received
17.541 pkt: 677 | sent
17.556 ACK: 670 | received
17.572 pkt: 678 | sent
17.588 ACK: 671 | received
17.588 pkt: 679 | sent
17.619 ACK: 672 | received
17.634 pkt: 680 | sent
17.650 ACK: 673 | received
17.650 pkt: 681 | sent
17.681 ACK: 674 | received
17.681 pkt: 682 | sent
17.697 ACK: 675 | received
17.712 pkt: 683 | sent
17.728 ACK: 676 | received
17.728 pkt: 684 | sent
17.744 ACK: 677 | received
17.759 pkt: 685 | sent
17.775 ACK: 678 | received
17.791 pkt: 686 | sent
17.806 ACK: 679 | received
17.806 pkt: 687 | sent
17.822 ACK: 680 | received
17.837 pkt: 688 | sent
17.853 ACK: 681 | received
17.869 pkt: 689 | sent
17.884 ACK: 682 | received
17.884 pkt: 690 | sent
17.916 ACK: 683 | received
17.916 pkt: 691 | sent
17.931 ACK: 684 | received
17.947 pkt: 692 | sent
17.962 ACK: 685 | received
17.962 pkt: 693 | sent
17.978 ACK: 686 | received
17.994 pkt: 694 | sent
18.009 ACK: 687 | received
18.025 pkt: 695 | sent
18.041 ACK: 688 | received
18.041 pkt: 696 | sent
18.056 ACK: 689 | received
18.072 pkt: 697 | sent
18.087 ACK: 690 | received
18.103 pkt: 698 | sent
18.119 ACK: 691 | received
18.134 pkt: 699 | sent
18.166 ACK: 692 | received
18.166 pkt: 700 | sent
18.197 ACK: 693 | received
18.197 pkt: 701 | sent
18.228 ACK: 694 | received
18.228 pkt: 702 | sent
18.244 ACK: 695 | received
18.259 pkt: 703 | sent
18.275 ACK: 696 | received
18.290 pkt: 704 | sent
18.306 ACK: 697 | received
18.306 pkt: 705 | sent
18.322 ACK: 698 | received
18.337 pkt: 706 | sent
18.353 ACK: 699 | received
18.353 pkt: 707 | sent
18.369 ACK: 700 | received
18.386 pkt: 708 | sent
18.398 ACK: 701 | received
18.411 pkt: 709 | sent
18.427 ACK: 702 | received
18.427 pkt: 710 | sent
18.443 ACK: 703 | received
18.458 pkt: 711 | sent
18.474 ACK: 704 | received
18.490 pkt: 712 | sent
18.505 ACK: 705 | received
18.505 pkt: 713 | sent
18.536 ACK: 706 | received
18.536 pkt: 714 | sent
18.552 ACK: 707 | received
18.568 pkt: 715 | sent
18.583 ACK: 708 | received
18.583 pkt: 716 | sent
18.615 ACK: 709 | received
18.615 pkt: 717 | sent
18.646 ACK: 710 | received
18.684 pkt: 718 | sent
18.763 ACK: 711 | received
18.778 pkt: 719 | sent
18.794 ACK: 712 | received
18.810 pkt: 720 | sent
18.825 ACK: 713 | received
18.825 pkt: 721 | sent
18.841 ACK: 714 | received
18.857 pkt: 722 | sent
18.872 ACK: 715 | received
18.882 pkt: 723 | sent
18.890 ACK: 716 | received
18.905 pkt: 724 | sent
18.921 ACK: 717 | received
18.921 pkt: 725 | sent
18.952 ACK: 718 | received
18.968 pkt: 726 | sent
18.983 ACK: 719 | received
18.999 pkt: 727 | sent
19.030 ACK: 720 | received
19.046 pkt: 728 | sent
19.061 ACK: 721 | received
19.077 pkt: 729 | sent
19.099 ACK: 722 | received
19.100 pkt: 730 | sent
19.132 ACK: 723 | received
19.132 pkt: 731 | sent
19.147 ACK: 724 | received
19.163 pkt: 732 | sent
19.178 ACK: 725 | received
19.194 pkt: 733 | sent
19.210 ACK: 726 | received
19.210 pkt: 734 | sent
19.225 ACK: 727 | received
19.225 pkt: 735 | sent
19.241 ACK: 728 | received
19.257 pkt: 736 | sent
19.272 ACK: 729 | received
19.272 pkt: 737 | sent
19.288 ACK: 730 | received
19.303 pkt: 738 | sent
19.319 ACK: 731 | received
19.319 pkt: 739 | sent
19.335 ACK: 732 | received
19.335 pkt: 740 | sent
19.350 ACK: 733 | received
19.366 pkt: 741 | sent
19.366 ACK: 734 | received
19.381 pkt: 742 | sent
19.401 ACK: 735 | received
19.411 pkt: 743 | sent
19.424 ACK: 736 | received
19.426 pkt: 744 | sent
19.441 ACK: 737 | received
19.441 pkt: 745 | sent
19.457 ACK: 738 | received
19.472 pkt: 746 | sent
19.488 ACK: 739 | received
19.488 pkt: 747 | sent
19.504 ACK: 740 | received
19.519 pkt: 748 | sent
19.535 ACK: 741 | received
19.535 pkt: 749 | sent
19.551 ACK: 742 | received
19.566 pkt: 750 | sent
19.582 ACK: 743 | received
19.603 pkt: 751 | sent
19.619 ACK: 744 | received
19.620 pkt: 752 | sent
19.636 ACK: 745 | received
19.651 pkt: 753 | sent
19.667 ACK: 746 | received
19.667 pkt: 754 | sent
19.682 ACK: 747 | received
19.698 pkt: 755 | sent
19.714 ACK: 748 | received
19.729 pkt: 756 | sent
19.729 ACK: 749 | received
19.745 pkt: 757 | sent
19.761 ACK: 750 | received
19.776 pkt: 758 | sent
19.792 ACK: 751 | received
19.792 pkt: 759 | sent
19.807 ACK: 752 | received
19.823 pkt: 760 | sent
19.841 ACK: 753 | received
19.851 pkt: 761 | sent
19.857 ACK: 754 | received
19.873 pkt: 762 | sent
19.889 ACK: 755 | received
19.889 pkt: 763 | sent
19.904 ACK: 756 | received
19.920 pkt: 764 | sent
19.936 ACK: 757 | received
19.936 pkt: 765 | sent
19.951 ACK: 758 | received
19.967 pkt: 766 | sent
19.982 ACK: 759 | received
19.998 pkt: 767 | sent
20.014 ACK: 760 | received
20.029 pkt: 768 | sent
20.045 ACK: 761 | received
20.045 pkt: 769 | sent
20.076 ACK: 762 | received
20.076 pkt: 770 | sent
20.107 ACK: 763 | received
20.123 pkt: 771 | sent
20.139 ACK: 764 | received
20.139 pkt: 772 | sent
20.154 ACK: 765 | received
20.170 pkt: 773 | sent
20.185 ACK: 766 | received
20.201 pkt: 774 | sent
20.217 ACK: 767 | received
20.232 pkt: 775 | sent
20.248 ACK: 768 | received
20.264 pkt: 776 | sent
20.279 ACK: 769 | received
20.279 pkt: 777 | sent
20.310 ACK: 770 | received
20.310 pkt: 778 | sent
20.326 ACK: 771 | received
20.342 pkt: 779 | sent
20.357 ACK: 772 | received
20.373 pkt: 780 | sent
20.389 ACK: 773 | received
20.402 pkt: 781 | sent
20.419 ACK: 774 | received
20.421 pkt: 782 | sent
20.437 ACK: 775 | received
20.452 pkt: 783 | sent
20.468 ACK: 776 | received
20.483 pkt: 784 | sent
20.499 ACK: 777 | received
20.499 pkt: 785 | sent
20.515 ACK: 778 | received
20.530 pkt: 786 | sent
20.546 ACK: 779 | received
20.562 pkt: 787 | sent
20.577 ACK: 780 | received
20.577 pkt: 788 | sent
20.593 ACK: 781 | received
20.608 pkt: 789 | sent
20.627 ACK: 782 | received
20.627 pkt: 790 | sent
20.645 ACK: 783 | received
20.645 pkt: 791 | sent
20.661 ACK: 784 | received
20.677 pkt: 792 | sent
20.692 ACK: 785 | received
20.708 pkt: 793 | sent
20.708 ACK: 786 | received
20.724 pkt: 794 | sent
20.739 ACK: 787 | received
20.755 pkt: 795 | sent
20.755 ACK: 788 | received
20.770 pkt: 796 | sent
20.786 ACK: 789 | received
20.786 pkt: 797 | sent
20.802 ACK: 790 | received
20.817 pkt: 798 | sent
20.833 ACK: 791 | received
20.833 pkt: 799 | sent
20.849 ACK: 792 | received
20.864 pkt: 800 | sent
20.880 ACK: 793 | received
20.880 pkt: 801 | sent
20.895 ACK: 794 | received
20.911 pkt: 802 | sent
20.927 ACK: 795 | received
20.927 pkt: 803 | sent
20.942 ACK: 796 | received
20.958 pkt: 804 | sent
20.974 ACK: 797 | received
20.974 pkt: 805 | sent
20.989 ACK: 798 | received
21.005 pkt: 806 | sent
21.005 ACK: 799 | received
21.020 pkt: 807 | sent
21.036 ACK: 800 | received
21.036 pkt: 808 | sent
21.052 ACK: 801 | received
21.067 pkt: 809 | sent
21.083 ACK: 802 | received
21.099 pkt: 810 | sent
21.114 ACK: 803 | received
21.114 pkt: 811 | sent
21.130 ACK: 804 | received
21.145 pkt: 812 | sent
21.161 ACK: 805 | received
21.161 pkt: 813 | sent
21.177 ACK: 806 | received
21.192 pkt: 814 | sent
21.208 ACK: 807 | received
21.208 pkt: 815 | sent
21.239 ACK: 808 | received
21.239 pkt: 816 | sent
21.255 ACK: 809 | received
21.270 pkt: 817 | sent
21.286 ACK: 810 | received
21.302 pkt: 818 | sent
21.317 ACK: 811 | received
21.333 pkt: 819 | sent
21.348 ACK: 812 | received
21.364 pkt: 820 | sent
21.380 ACK: 813 | received
21.400 pkt: 821 | sent
21.421 ACK: 814 | received
21.421 pkt: 822 | sent
21.436 ACK: 815 | received
21.452 pkt: 823 | sent
21.468 ACK: 816 | received
21.468 pkt: 824 | sent
21.499 ACK: 817 | received
21.514 pkt: 825 | sent
21.530 ACK: 818 | received
21.546 pkt: 826 | sent
21.561 ACK: 819 | received
21.561 pkt: 827 | sent
21.593 ACK: 820 | received
21.624 pkt: 828 | sent
21.655 ACK: 821 | received
21.678 pkt: 829 | sent
21.704 ACK: 822 | received
21.720 pkt: 830 | sent
21.735 ACK: 823 | received
21.751 pkt: 831 | sent
21.782 ACK: 824 | received
21.798 pkt: 832 | sent
21.829 ACK: 825 | received
21.845 pkt: 833 | sent
21.860 ACK: 826 | received
21.876 pkt: 834 | sent
21.907 ACK: 827 | received
21.923 pkt: 835 | sent
21.938 ACK: 828 | received
21.954 pkt: 836 | sent
21.970 ACK: 829 | received
21.985 pkt: 837 | sent
22.017 ACK: 830 | received
22.017 pkt: 838 | sent
22.032 ACK: 831 | received
22.048 pkt: 839 | sent
22.079 ACK: 832 | received
22.095 pkt: 840 | sent
22.121 ACK: 833 | received
22.135 pkt: 841 | sent
22.151 ACK: 834 | received
22.166 pkt: 842 | sent
22.182 ACK: 835 | received
22.197 pkt: 843 | sent
22.213 ACK: 836 | received
22.229 pkt: 844 | sent
22.260 ACK: 837 | received
22.276 pkt: 845 | sent
22.291 ACK: 838 | received
22.307 pkt: 846 | sent
22.322 ACK: 839 | received
22.338 pkt: 847 | sent
22.354 ACK: 840 | received
22.369 pkt: 848 | sent
22.396 ACK: 841 | received
22.406 pkt: 849 | sent
22.411 ACK: 842 | received
22.426 pkt: 850 | sent
22.458 ACK: 843 | received
22.458 pkt: 851 | sent
22.489 ACK: 844 | received
22.489 pkt: 852 | sent
22.520 ACK: 845 | received
22.520 pkt: 853 | sent
22.536 ACK: 846 | received
22.551 pkt: 854 | sent
22.567 ACK: 847 | received
22.583 pkt: 855 | sent
22.598 ACK: 848 | received
22.614 pkt: 856 | sent
22.635 ACK: 849 | received
22.666 pkt: 857 | sent
22.682 ACK: 850 | received
22.698 pkt: 858 | sent
22.729 ACK: 851 | received
22.745 pkt: 859 | sent
22.776 ACK: 852 | received
22.791 pkt: 860 | sent
22.823 ACK: 853 | received
22.848 pkt: 861 | sent
22.863 ACK: 854 | received
22.863 pkt: 862 | sent
22.901 ACK: 855 | received
22.917 pkt: 863 | sent
22.948 ACK: 856 | received
22.948 pkt: 864 | sent
22.964 ACK: 857 | received
22.979 pkt: 865 | sent
22.995 ACK: 858 | received
23.011 pkt: 866 | sent
23.026 ACK: 859 | received
23.042 pkt: 867 | sent
23.057 ACK: 860 | received
23.073 pkt: 868 | sent
23.104 ACK: 861 | received
23.121 pkt: 869 | sent
23.133 ACK: 862 | received
23.149 pkt: 870 | sent
23.164 ACK: 863 | received
23.164 pkt: 871 | sent
23.196 ACK: 864 | received
23.196 pkt: 872 | sent
23.211 ACK: 865 | received
23.227 pkt: 873 | sent
23.242 ACK: 866 | received
23.258 pkt: 874 | sent
23.274 ACK: 867 | received
23.289 pkt: 875 | sent
23.305 ACK: 868 | received
23.335 pkt: 876 | sent
23.420 ACK: 869 | received
23.440 pkt: 877 | sent
23.460 ACK: 870 | received
23.476 pkt: 878 | sent
23.507 ACK: 871 | received
23.522 pkt: 879 | sent
23.554 ACK: 872 | received
23.569 pkt: 880 | sent
23.585 ACK: 873 | received
23.601 pkt: 881 | sent
23.632 ACK: 874 | received
23.647 pkt: 882 | sent
23.663 ACK: 875 | received
23.679 pkt: 883 | sent
23.694 ACK: 876 | received
23.710 pkt: 884 | sent
23.741 ACK: 877 | received
23.757 pkt: 885 | sent
23.772 ACK: 878 | received
23.788 pkt: 886 | sent
23.804 ACK: 879 | received
23.819 pkt: 887 | sent
23.851 ACK: 880 | received
23.866 pkt: 888 | sent
23.897 ACK: 881 | received
23.913 pkt: 889 | sent
23.929 ACK: 882 | received
23.944 pkt: 890 | sent
23.960 ACK: 883 | received
23.976 pkt: 891 | sent
24.007 ACK: 884 | received
24.022 pkt: 892 | sent
24.038 ACK: 885 | received
24.054 pkt: 893 | sent
24.069 ACK: 886 | received
24.085 pkt: 894 | sent
24.116 ACK: 887 | received
24.132 pkt: 895 | sent
24.147 ACK: 888 | received
24.163 pkt: 896 | sent
24.194 ACK: 889 | received
24.210 pkt: 897 | sent
24.225 ACK: 890 | received
24.257 pkt: 898 | sent
24.272 ACK: 891 | received
24.288 pkt: 899 | sent
24.319 ACK: 892 | received
24.335 pkt: 900 | sent
24.350 ACK: 893 | received
24.382 pkt: 901 | sent
24.457 ACK: 894 | received
24.477 pkt: 902 | sent
24.494 ACK: 895 | received
24.509 pkt: 903 | sent
24.509 ACK: 896 | received
24.525 pkt: 904 | sent
24.541 ACK: 897 | received
24.541 pkt: 905 | sent
24.556 ACK: 898 | received
24.588 pkt: 906 | sent
24.588 ACK: 899 | received
24.603 pkt: 907 | sent
24.616 ACK: 900 | received
24.616 pkt: 908 | sent
24.632 ACK: 901 | received
24.632 pkt: 909 | sent
24.648 ACK: 902 | received
24.648 pkt: 910 | sent
24.663 ACK: 903 | received
24.679 pkt: 911 | sent
24.694 ACK: 904 | received
24.694 pkt: 912 | sent
24.710 ACK: 905 | received
24.726 pkt: 913 | sent
24.741 ACK: 906 | received
24.741 pkt: 914 | sent
24.757 ACK: 907 | received
24.773 pkt: 915 | sent
24.804 ACK: 908 | received
24.804 pkt: 916 | sent
24.835 ACK: 909 | received
24.835 pkt: 917 | sent
24.851 ACK: 910 | received
24.866 pkt: 918 | sent
24.882 ACK: 911 | received
24.898 pkt: 919 | sent
24.913 ACK: 912 | received
24.929 pkt: 920 | sent
24.944 ACK: 913 | received
24.960 pkt: 921 | sent
24.976 ACK: 914 | received
24.991 pkt: 922 | sent
25.007 ACK: 915 | received
25.023 pkt: 923 | sent
25.054 ACK: 916 | received
25.085 pkt: 924 | sent
25.116 ACK: 917 | received
25.132 pkt: 925 | sent
25.163 ACK: 918 | received
25.179 pkt: 926 | sent
25.210 ACK: 919 | received
25.226 pkt: 927 | sent
25.257 ACK: 920 | received
25.272 pkt: 928 | sent
25.304 ACK: 921 | received
25.319 pkt: 929 | sent
25.335 ACK: 922 | received
25.366 pkt: 930 | sent
25.382 ACK: 923 | received
25.410 pkt: 931 | sent
25.426 ACK: 924 | received
25.463 pkt: 932 | sent
25.529 ACK: 925 | received
25.561 pkt: 933 | sent
25.639 ACK: 926 | received
25.670 pkt: 934 | sent
25.764 ACK: 927 | received
25.795 pkt: 935 | sent
25.811 ACK: 928 | received
25.826 pkt: 936 | sent
25.842 ACK: 929 | received
25.857 pkt: 937 | sent
25.873 ACK: 930 | received
25.889 pkt: 938 | sent
25.904 ACK: 931 | received
25.920 pkt: 939 | sent
25.936 ACK: 932 | received
25.936 pkt: 940 | sent
25.951 ACK: 933 | received
25.967 pkt: 941 | sent
25.982 ACK: 934 | received
25.982 pkt: 942 | sent
25.998 ACK: 935 | received
26.014 pkt: 943 | sent
26.014 ACK: 936 | received
26.029 pkt: 944 | sent
26.045 ACK: 937 | received
26.045 pkt: 945 | sent
26.060 ACK: 938 | received
26.060 pkt: 946 | sent
26.092 ACK: 939 | received
26.092 pkt: 947 | sent
26.107 ACK: 940 | received
26.123 pkt: 948 | sent
26.139 ACK: 941 | received
26.151 pkt: 949 | sent
26.167 ACK: 942 | received
26.167 pkt: 950 | sent
26.182 ACK: 943 | received
26.198 pkt: 951 | sent
26.214 ACK: 944 | received
26.214 pkt: 952 | sent
26.229 ACK: 945 | received
26.245 pkt: 953 | sent
26.260 ACK: 946 | received
26.260 pkt: 954 | sent
26.276 ACK: 947 | received
26.292 pkt: 955 | sent
26.307 ACK: 948 | received
26.307 pkt: 956 | sent
26.323 ACK: 949 | received
26.323 pkt: 957 | sent
26.338 ACK: 950 | received
26.354 pkt: 958 | sent
26.370 ACK: 951 | received
26.370 pkt: 959 | sent
26.391 ACK: 952 | received
26.402 pkt: 960 | sent
26.411 ACK: 953 | received
26.411 pkt: 961 | sent
26.426 ACK: 954 | received
26.426 pkt: 962 | sent
26.442 ACK: 955 | received
26.442 pkt: 963 | sent
26.458 ACK: 956 | received
26.473 pkt: 964 | sent
26.473 ACK: 957 | received
26.489 pkt: 965 | sent
26.489 ACK: 958 | received
26.505 pkt: 966 | sent
26.536 ACK: 959 | received
26.536 pkt: 967 | sent
