0.012 pkt: 0 | received
11.769 pkt: 482 | received
11.769 ACK: 482 | sent
11.785 pkt: 483 | received
11.800 ACK: 483 | sent
11.816 pkt: 484 | received
11.847 ACK: 484 | sent
11.939 pkt: 485 | received
11.942 ACK: 485 | sent
11.968 pkt: 486 | received
11.968 ACK: 486 | sent
11.983 pkt: 487 | received
11.999 ACK: 487 | sent
12.002 pkt: 488 | received
12.017 ACK: 488 | sent
12.033 pkt: 489 | received
12.049 ACK: 489 | sent
12.064 pkt: 490 | received
12.064 ACK: 490 | sent
12.080 pkt: 491 | received
12.104 ACK: 491 | sent
12.119 pkt: 492 | received
12.119 ACK: 492 | sent
12.135 pkt: 493 | received
12.151 ACK: 493 | sent
12.166 pkt: 494 | received
12.182 ACK: 494 | sent
12.197 pkt: 495 | received
12.197 ACK: 495 | sent
12.213 pkt: 496 | received
12.229 ACK: 496 | sent
12.244 pkt: 497 | received
12.244 ACK: 497 | sent
12.260 pkt: 498 | received
12.260 ACK: 498 | sent
12.276 pkt: 499 | received
12.291 ACK: 499 | sent
12.307 pkt: 500 | received
12.307 ACK: 500 | sent
12.322 pkt: 501 | received
12.338 ACK: 501 | sent
12.354 pkt: 502 | received
12.369 ACK: 502 | sent
12.387 pkt: 503 | received
12.400 ACK: 503 | sent
12.413 pkt: 504 | received
12.417 ACK: 504 | sent
12.433 pkt: 505 | received
12.449 ACK: 505 | sent
12.465 pkt: 506 | received
12.465 ACK: 506 | sent
12.480 pkt: 507 | received
12.496 ACK: 507 | sent
12.512 pkt: 508 | received
12.512 ACK: 508 | sent
12.543 pkt: 509 | received
12.543 ACK: 509 | sent
12.558 pkt: 510 | received
12.574 ACK: 510 | sent
12.590 pkt: 511 | received
12.590 ACK: 511 | sent
12.622 pkt: 512 | received
12.633 ACK: 512 | sent
12.648 pkt: 513 | received
12.655 ACK: 513 | sent
12.672 pkt: 514 | received
12.672 ACK: 514 | sent
12.687 pkt: 515 | received
12.703 ACK: 515 | sent
12.718 pkt: 516 | received
12.734 ACK: 516 | sent
12.749 pkt: 517 | received
12.765 ACK: 517 | sent
12.781 pkt: 518 | received
12.796 ACK: 518 | sent
12.812 pkt: 519 | received
12.828 ACK: 519 | sent
12.843 pkt: 520 | received
12.859 ACK: 520 | sent
12.874 pkt: 521 | received
12.874 ACK: 521 | sent
12.890 pkt: 522 | received
12.906 ACK: 522 | sent
12.921 pkt: 523 | received
12.937 ACK: 523 | sent
12.953 pkt: 524 | received
12.968 ACK: 524 | sent
12.984 pkt: 525 | received
12.999 ACK: 525 | sent
13.017 pkt: 526 | received
13.017 ACK: 526 | sent
13.034 pkt: 527 | received
13.050 ACK: 527 | sent
13.066 pkt: 528 | received
13.066 ACK: 528 | sent
13.081 pkt: 529 | received
13.097 ACK: 529 | sent
13.118 pkt: 530 | received
13.118 ACK: 530 | sent
13.133 pkt: 531 | received
13.149 ACK: 531 | sent
13.165 pkt: 532 | received
13.165 ACK: 532 | sent
13.180 pkt: 533 | received
13.196 ACK: 533 | sent
13.212 pkt: 534 | received
13.212 ACK: 534 | sent
13.227 pkt: 535 | received
13.243 ACK: 535 | sent
13.263 pkt: 536 | received
13.270 ACK: 536 | sent
13.273 pkt: 537 | received
13.273 ACK: 537 | sent
13.289 pkt: 538 | received
13.304 ACK: 538 | sent
13.320 pkt: 539 | received
13.320 ACK: 539 | sent
13.335 pkt: 540 | received
13.351 ACK: 540 | sent
13.351 pkt: 541 | received
13.367 ACK: 541 | sent
13.388 pkt: 542 | received
13.399 ACK: 542 | sent
13.407 pkt: 543 | received
13.423 ACK: 543 | sent
13.447 pkt: 544 | received
13.456 ACK: 544 | sent
13.471 pkt: 545 | received
13.478 ACK: 545 | sent
13.484 pkt: 546 | received
13.499 ACK: 546 | sent
13.515 pkt: 547 | received
13.515 ACK: 547 | sent
13.531 pkt: 548 | received
13.546 ACK: 548 | sent
13.562 pkt: 549 | received
13.578 ACK: 549 | sent
13.593 pkt: 550 | received
13.601 ACK: 550 | sent
13.617 pkt: 551 | received
13.617 ACK: 551 | sent
13.650 pkt: 552 | received
13.653 ACK: 552 | sent
13.668 pkt: 553 | received
13.684 ACK: 553 | sent
13.699 pkt: 554 | received
13.699 ACK: 554 | sent
13.715 pkt: 555 | received
13.730 ACK: 555 | sent
13.746 pkt: 556 | received
13.762 ACK: 556 | sent
13.762 pkt: 557 | received
13.777 ACK: 557 | sent
13.793 pkt: 558 | received
13.809 ACK: 558 | sent
13.824 pkt: 559 | received
13.840 ACK: 559 | sent
13.840 pkt: 560 | received
13.855 ACK: 560 | sent
13.871 pkt: 561 | received
13.887 ACK: 561 | sent
13.902 pkt: 562 | received
13.918 ACK: 562 | sent
13.934 pkt: 563 | received
13.934 ACK: 563 | sent
13.949 pkt: 564 | received
13.965 ACK: 564 | sent
13.980 pkt: 565 | received
13.980 ACK: 565 | sent
13.996 pkt: 566 | received
14.012 ACK: 566 | sent
14.027 pkt: 567 | received
14.027 ACK: 567 | sent
14.043 pkt: 568 | received
14.058 ACK: 568 | sent
14.074 pkt: 569 | received
14.090 ACK: 569 | sent
14.119 pkt: 570 | received
14.228 ACK: 570 | sent
14.243 pkt: 571 | received
14.259 ACK: 571 | sent
14.290 pkt: 572 | received
14.321 ACK: 572 | sent
14.337 pkt: 573 | received
14.374 ACK: 573 | sent
14.439 pkt: 574 | received
14.455 ACK: 574 | sent
14.486 pkt: 575 | received
14.502 ACK: 575 | sent
14.533 pkt: 576 | received
14.548 ACK: 576 | sent
14.580 pkt: 577 | received
14.595 ACK: 577 | sent
14.611 pkt: 578 | received
14.640 ACK: 578 | sent
14.655 pkt: 579 | received
14.690 ACK: 579 | sent
14.706 pkt: 580 | received
14.737 ACK: 580 | sent
14.753 pkt: 581 | received
14.784 ACK: 581 | sent
14.800 pkt: 582 | received
14.831 ACK: 582 | sent
14.847 pkt: 583 | received
14.862 ACK: 583 | sent
14.894 pkt: 584 | received
14.909 ACK: 584 | sent
14.925 pkt: 585 | received
14.941 ACK: 585 | sent
14.972 pkt: 586 | received
14.987 ACK: 586 | sent
15.003 pkt: 587 | received
15.019 ACK: 587 | sent
15.050 pkt: 588 | received
15.065 ACK: 588 | sent
15.081 pkt: 589 | received
15.105 ACK: 589 | sent
15.121 pkt: 590 | received
15.152 ACK: 590 | sent
15.167 pkt: 591 | received
15.183 ACK: 591 | sent
15.199 pkt: 592 | received
15.214 ACK: 592 | sent
15.236 pkt: 593 | received
15.251 ACK: 593 | sent
15.283 pkt: 594 | received
15.298 ACK: 594 | sent
15.314 pkt: 595 | received
15.330 ACK: 595 | sent
15.345 pkt: 596 | received
15.361 ACK: 596 | sent
15.394 pkt: 597 | received
15.418 ACK: 597 | sent
15.434 pkt: 598 | received
15.449 ACK: 598 | sent
15.465 pkt: 599 | received
15.496 ACK: 599 | sent
15.512 pkt: 600 | received
15.527 ACK: 600 | sent
15.559 pkt: 601 | received
15.574 ACK: 601 | sent
15.590 pkt: 602 | received
15.605 ACK: 602 | sent
15.636 pkt: 603 | received
15.651 ACK: 603 | sent
15.667 pkt: 604 | received
15.683 ACK: 604 | sent
15.714 pkt: 605 | received
15.729 ACK: 605 | sent
15.745 pkt: 606 | received
15.767 ACK: 606 | sent
15.769 pkt: 607 | received
15.785 ACK: 607 | sent
15.801 pkt: 608 | received
15.817 ACK: 608 | sent
15.832 pkt: 609 | received
15.832 ACK: 609 | sent
15.848 pkt: 610 | received
15.863 ACK: 610 | sent
15.895 pkt: 611 | received
15.929 ACK: 611 | sent
15.929 pkt: 612 | received
15.945 ACK: 612 | sent
15.960 pkt: 613 | received
15.960 ACK: 613 | sent
15.976 pkt: 614 | received
15.991 ACK: 614 | sent
16.023 pkt: 615 | received
16.023 ACK: 615 | sent
16.038 pkt: 616 | received
16.054 ACK: 616 | sent
16.070 pkt: 617 | received
16.070 ACK: 617 | sent
16.085 pkt: 618 | received
16.111 ACK: 618 | sent
16.111 pkt: 619 | received
16.126 ACK: 619 | sent
16.142 pkt: 620 | received
16.158 ACK: 620 | sent
16.173 pkt: 621 | received
16.173 ACK: 621 | sent
16.189 pkt: 622 | received
16.205 ACK: 622 | sent
16.236 pkt: 623 | received
16.251 ACK: 623 | sent
16.267 pkt: 624 | received
16.267 ACK: 624 | sent
16.283 pkt: 625 | received
16.298 ACK: 625 | sent
16.314 pkt: 626 | received
16.314 ACK: 626 | sent
16.361 pkt: 627 | received
16.376 ACK: 627 | sent
16.449 pkt: 628 | received
16.457 ACK: 628 | sent
16.457 pkt: 629 | received
16.472 ACK: 629 | sent
16.488 pkt: 630 | received
16.504 ACK: 630 | sent
16.519 pkt: 631 | received
16.519 ACK: 631 | sent
16.535 pkt: 632 | received
16.550 ACK: 632 | sent
16.566 pkt: 633 | received
16.566 ACK: 633 | sent
16.582 pkt: 634 | received
16.597 ACK: 634 | sent
16.613 pkt: 635 | received
16.629 ACK: 635 | sent
16.644 pkt: 636 | received
16.660 ACK: 636 | sent
16.675 pkt: 637 | received
16.675 ACK: 637 | sent
16.691 pkt: 638 | received
16.707 ACK: 638 | sent
16.722 pkt: 639 | received
16.738 ACK: 639 | sent
16.738 pkt: 640 | received
16.753 ACK: 640 | sent
16.769 pkt: 641 | received
16.785 ACK: 641 | sent
16.800 pkt: 642 | received
16.800 ACK: 642 | sent
16.816 pkt: 643 | received
16.832 ACK: 643 | sent
16.847 pkt: 644 | received
16.847 ACK: 644 | sent
16.863 pkt: 645 | received
16.878 ACK: 645 | sent
16.894 pkt: 646 | received
16.910 ACK: 646 | sent
16.925 pkt: 647 | received
16.925 ACK: 647 | sent
16.941 pkt: 648 | received
16.957 ACK: 648 | sent
16.972 pkt: 649 | received
16.972 ACK: 649 | sent
16.988 pkt: 650 | received
17.003 ACK: 650 | sent
17.019 pkt: 651 | received
17.019 ACK: 651 | sent
17.035 pkt: 652 | received
17.050 ACK: 652 | sent
17.082 pkt: 653 | received
17.082 ACK: 653 | sent
17.113 pkt: 654 | received
17.128 ACK: 654 | sent
17.144 pkt: 655 | received
17.144 ACK: 655 | sent
17.175 pkt: 656 | received
17.175 ACK: 656 | sent
17.190 pkt: 657 | received
17.206 ACK: 657 | sent
17.222 pkt: 658 | received
17.237 ACK: 658 | sent
17.237 pkt: 659 | received
17.253 ACK: 659 | sent
17.269 pkt: 660 | received
17.284 ACK: 660 | sent
17.300 pkt: 661 | received
17.300 ACK: 661 | sent
17.315 pkt: 662 | received
17.315 ACK: 662 | sent
17.331 pkt: 663 | received
17.347 ACK: 663 | sent
17.362 pkt: 664 | received
17.378 ACK: 664 | sent
17.402 pkt: 665 | received
17.411 ACK: 665 | sent
17.418 pkt: 666 | received
17.433 ACK: 666 | sent
17.449 pkt: 667 | received
17.473 ACK: 667 | sent
17.491 pkt: 668 | received
17.491 ACK: 668 | sent
17.506 pkt: 669 | received
17.522 ACK: 669 | sent
17.538 pkt: 670 | received
17.538 ACK: 670 | sent
17.553 pkt: 671 | received
17.569 ACK: 671 | sent
17.585 pkt: 672 | received
17.600 ACK: 672 | sent
17.616 pkt: 673 | received
17.631 ACK: 673 | sent
17.647 pkt: 674 | received
17.663 ACK: 674 | sent
17.678 pkt: 675 | received
17.694 ACK: 675 | sent
17.709 pkt: 676 | received
17.709 ACK: 676 | sent
17.725 pkt: 677 | received
17.741 ACK: 677 | sent
17.756 pkt: 678 | received
17.772 ACK: 678 | sent
17.788 pkt: 679 | received
17.788 ACK: 679 | sent
17.803 pkt: 680 | received
17.819 ACK: 680 | sent
17.834 pkt: 681 | received
17.834 ACK: 681 | sent
17.850 pkt: 682 | received
17.866 ACK: 682 | sent
17.881 pkt: 683 | received
17.897 ACK: 683 | sent
17.913 pkt: 684 | received
17.913 ACK: 684 | sent
17.928 pkt: 685 | received
17.944 ACK: 685 | sent
17.959 pkt: 686 | received
17.959 ACK: 686 | sent
17.975 pkt: 687 | received
17.991 ACK: 687 | sent
17.991 pkt: 688 | received
18.006 ACK: 688 | sent
18.022 pkt: 689 | received
18.038 ACK: 689 | sent
18.053 pkt: 690 | received
18.053 ACK: 690 | sent
18.069 pkt: 691 | received
18.084 ACK: 691 | sent
18.100 pkt: 692 | received
18.100 ACK: 692 | sent
18.116 pkt: 693 | received
18.131 ACK: 693 | sent
18.163 pkt: 694 | received
18.163 ACK: 694 | sent
18.194 pkt: 695 | received
18.194 ACK: 695 | sent
18.209 pkt: 696 | received
18.225 ACK: 696 | sent
18.241 pkt: 697 | received
18.241 ACK: 697 | sent
18.256 pkt: 698 | received
18.272 ACK: 698 | sent
18.287 pkt: 699 | received
18.287 ACK: 699 | sent
18.303 pkt: 700 | received
18.319 ACK: 700 | sent
18.319 pkt: 701 | received
18.334 ACK: 701 | sent
18.350 pkt: 702 | received
18.350 ACK: 702 | sent
18.366 pkt: 703 | received
18.381 ACK: 703 | sent
18.395 pkt: 704 | received
18.408 ACK: 704 | sent
18.424 pkt: 705 | received
18.424 ACK: 705 | sent
18.440 pkt: 706 | received
18.455 ACK: 706 | sent
18.471 pkt: 707 | received
18.487 ACK: 707 | sent
18.502 pkt: 708 | received
18.518 ACK: 708 | sent
18.533 pkt: 709 | received
18.533 ACK: 709 | sent
18.549 pkt: 710 | received
18.565 ACK: 710 | sent
18.580 pkt: 711 | received
18.580 ACK: 711 | sent
18.612 pkt: 712 | received
18.612 ACK: 712 | sent
18.643 pkt: 713 | received
18.681 ACK: 713 | sent
18.760 pkt: 714 | received
18.775 ACK: 714 | sent
18.791 pkt: 715 | received
18.807 ACK: 715 | sent
18.822 pkt: 716 | received
18.822 ACK: 716 | sent
18.838 pkt: 717 | received
18.854 ACK: 717 | sent
18.873 pkt: 718 | received
18.882 ACK: 718 | sent
18.887 pkt: 719 | received
18.902 ACK: 719 | sent
18.918 pkt: 720 | received
18.918 ACK: 720 | sent
18.933 pkt: 721 | received
18.949 ACK: 721 | sent
18.965 pkt: 722 | received
18.965 ACK: 722 | sent
18.980 pkt: 723 | received
18.996 ACK: 723 | sent
18.996 pkt: 724 | received
19.012 ACK: 724 | sent
19.027 pkt: 725 | received
19.027 ACK: 725 | sent
19.058 pkt: 726 | received
19.058 ACK: 726 | sent
19.074 pkt: 727 | received
19.094 ACK: 727 | sent
19.097 pkt: 728 | received
19.113 ACK: 728 | sent
19.129 pkt: 729 | received
19.144 ACK: 729 | sent
19.160 pkt: 730 | received
19.160 ACK: 730 | sent
19.175 pkt: 731 | received
19.191 ACK: 731 | sent
19.222 pkt: 732 | received
19.238 ACK: 732 | sent
19.254 pkt: 733 | received
19.254 ACK: 733 | sent
19.269 pkt: 734 | received
19.285 ACK: 734 | sent
19.300 pkt: 735 | received
19.300 ACK: 735 | sent
19.316 pkt: 736 | received
19.332 ACK: 736 | sent
19.347 pkt: 737 | received
19.347 ACK: 737 | sent
19.363 pkt: 738 | received
19.363 ACK: 738 | sent
19.378 pkt: 739 | received
19.378 ACK: 739 | sent
19.408 pkt: 740 | received
19.416 ACK: 740 | sent
19.423 pkt: 741 | received
19.438 ACK: 741 | sent
19.454 pkt: 742 | received
19.454 ACK: 742 | sent
19.470 pkt: 743 | received
19.485 ACK: 743 | sent
19.501 pkt: 744 | received
19.501 ACK: 744 | sent
19.516 pkt: 745 | received
19.532 ACK: 745 | sent
19.548 pkt: 746 | received
19.563 ACK: 746 | sent
19.579 pkt: 747 | received
19.579 ACK: 747 | sent
19.608 pkt: 748 | received
19.617 ACK: 748 | sent
19.633 pkt: 749 | received
19.633 ACK: 749 | sent
19.648 pkt: 750 | received
19.664 ACK: 750 | sent
19.679 pkt: 751 | received
19.695 ACK: 751 | sent
19.711 pkt: 752 | received
19.711 ACK: 752 | sent
19.726 pkt: 753 | received
19.742 ACK: 753 | sent
19.758 pkt: 754 | received
19.773 ACK: 754 | sent
19.789 pkt: 755 | received
19.789 ACK: 755 | sent
19.804 pkt: 756 | received
19.820 ACK: 756 | sent
19.842 pkt: 757 | received
19.851 ACK: 757 | sent
19.854 pkt: 758 | received
19.870 ACK: 758 | sent
19.886 pkt: 759 | received
19.886 ACK: 759 | sent
19.901 pkt: 760 | received
19.917 ACK: 760 | sent
19.933 pkt: 761 | received
19.933 ACK: 761 | sent
19.948 pkt: 762 | received
19.964 ACK: 762 | sent
19.979 pkt: 763 | received
19.995 ACK: 763 | sent
20.011 pkt: 764 | received
20.011 ACK: 764 | sent
20.026 pkt: 765 | received
20.042 ACK: 765 | sent
20.058 pkt: 766 | received
20.058 ACK: 766 | sent
20.073 pkt: 767 | received
20.089 ACK: 767 | sent
20.104 pkt: 768 | received
20.104 ACK: 768 | sent
20.120 pkt: 769 | received
20.136 ACK: 769 | sent
20.151 pkt: 770 | received
20.167 ACK: 770 | sent
20.182 pkt: 771 | received
20.198 ACK: 771 | sent
20.198 pkt: 772 | received
20.214 ACK: 772 | sent
20.229 pkt: 773 | received
20.245 ACK: 773 | sent
20.261 pkt: 774 | received
20.261 ACK: 774 | sent
20.276 pkt: 775 | received
20.292 ACK: 775 | sent
20.307 pkt: 776 | received
20.307 ACK: 776 | sent
20.323 pkt: 777 | received
20.339 ACK: 777 | sent
20.354 pkt: 778 | received
20.354 ACK: 778 | sent
20.370 pkt: 779 | received
20.386 ACK: 779 | sent
20.399 pkt: 780 | received
20.410 ACK: 780 | sent
20.418 pkt: 781 | received
20.418 ACK: 781 | sent
20.434 pkt: 782 | received
20.449 ACK: 782 | sent
20.465 pkt: 783 | received
20.465 ACK: 783 | sent
20.496 pkt: 784 | received
20.496 ACK: 784 | sent
20.512 pkt: 785 | received
20.527 ACK: 785 | sent
20.527 pkt: 786 | received
20.543 ACK: 786 | sent
20.559 pkt: 787 | received
20.574 ACK: 787 | sent
20.590 pkt: 788 | received
20.590 ACK: 788 | sent
20.605 pkt: 789 | received
20.624 ACK: 789 | sent
20.642 pkt: 790 | received
20.642 ACK: 790 | sent
20.658 pkt: 791 | received
20.674 ACK: 791 | sent
20.689 pkt: 792 | received
20.705 ACK: 792 | sent
20.721 pkt: 793 | received
20.721 ACK: 793 | sent
20.752 pkt: 794 | received
20.752 ACK: 794 | sent
20.767 pkt: 795 | received
20.783 ACK: 795 | sent
20.799 pkt: 796 | received
20.799 ACK: 796 | sent
20.814 pkt: 797 | received
20.830 ACK: 797 | sent
20.846 pkt: 798 | received
20.861 ACK: 798 | sent
20.877 pkt: 799 | received
20.877 ACK: 799 | sent
20.892 pkt: 800 | received
20.908 ACK: 800 | sent
20.924 pkt: 801 | received
20.939 ACK: 801 | sent
20.955 pkt: 802 | received
20.955 ACK: 802 | sent
20.971 pkt: 803 | received
20.986 ACK: 803 | sent
21.002 pkt: 804 | received
21.017 ACK: 804 | sent
21.017 pkt: 805 | received
21.033 ACK: 805 | sent
21.049 pkt: 806 | received
21.064 ACK: 806 | sent
21.080 pkt: 807 | received
21.096 ACK: 807 | sent
21.111 pkt: 808 | received
21.127 ACK: 808 | sent
21.127 pkt: 809 | received
21.142 ACK: 809 | sent
21.158 pkt: 810 | received
21.174 ACK: 810 | sent
21.189 pkt: 811 | received
21.205 ACK: 811 | sent
21.236 pkt: 812 | received
21.236 ACK: 812 | sent
21.252 pkt: 813 | received
21.267 ACK: 813 | sent
21.283 pkt: 814 | received
21.299 ACK: 814 | sent
21.314 pkt: 815 | received
21.330 ACK: 815 | sent
21.345 pkt: 816 | received
21.361 ACK: 816 | sent
21.377 pkt: 817 | received
21.377 ACK: 817 | sent
21.401 pkt: 818 | received
21.415 ACK: 818 | sent
21.418 pkt: 819 | received
21.433 ACK: 819 | sent
21.449 pkt: 820 | received
21.449 ACK: 820 | sent
21.465 pkt: 821 | received
21.480 ACK: 821 | sent
21.511 pkt: 822 | received
21.527 ACK: 822 | sent
21.543 pkt: 823 | received
21.543 ACK: 823 | sent
21.558 pkt: 824 | received
21.574 ACK: 824 | sent
21.605 pkt: 825 | received
21.621 ACK: 825 | sent
21.652 pkt: 826 | received
21.672 ACK: 826 | sent
21.701 pkt: 827 | received
21.701 ACK: 827 | sent
21.732 pkt: 828 | received
21.732 ACK: 828 | sent
21.748 pkt: 829 | received
21.764 ACK: 829 | sent
21.795 pkt: 830 | received
21.795 ACK: 830 | sent
21.810 pkt: 831 | received
21.826 ACK: 831 | sent
21.857 pkt: 832 | received
21.857 ACK: 832 | sent
21.873 pkt: 833 | received
21.889 ACK: 833 | sent
21.904 pkt: 834 | received
21.920 ACK: 834 | sent
21.935 pkt: 835 | received
21.951 ACK: 835 | sent
21.967 pkt: 836 | received
21.967 ACK: 836 | sent
21.998 pkt: 837 | received
21.998 ACK: 837 | sent
22.029 pkt: 838 | received
22.029 ACK: 838 | sent
22.060 pkt: 839 | received
22.076 ACK: 839 | sent
22.092 pkt: 840 | received
22.092 ACK: 840 | sent
22.132 pkt: 841 | received
22.148 ACK: 841 | sent
22.163 pkt: 842 | received
22.179 ACK: 842 | sent
22.194 pkt: 843 | received
22.210 ACK: 843 | sent
22.226 pkt: 844 | received
22.241 ACK: 844 | sent
22.273 pkt: 845 | received
22.288 ACK: 845 | sent
22.319 pkt: 846 | received
22.335 ACK: 846 | sent
22.351 pkt: 847 | received
22.366 ACK: 847 | sent
22.366 pkt: 848 | received
22.387 ACK: 848 | sent
22.408 pkt: 849 | received
22.408 ACK: 849 | sent
22.439 pkt: 850 | received
22.439 ACK: 850 | sent
22.470 pkt: 851 | received
22.486 ACK: 851 | sent
22.501 pkt: 852 | received
22.501 ACK: 852 | sent
22.533 pkt: 853 | received
22.533 ACK: 853 | sent
22.548 pkt: 854 | received
22.564 ACK: 854 | sent
22.580 pkt: 855 | received
22.595 ACK: 855 | sent
22.611 pkt: 856 | received
22.632 ACK: 856 | sent
22.726 pkt: 857 | received
22.726 ACK: 857 | sent
22.757 pkt: 858 | received
22.757 ACK: 858 | sent
22.773 pkt: 859 | received
22.788 ACK: 859 | sent
22.788 pkt: 860 | received
22.804 ACK: 860 | sent
22.845 pkt: 861 | received
22.860 ACK: 861 | sent
22.898 pkt: 862 | received
22.914 ACK: 862 | sent
22.930 pkt: 863 | received
22.945 ACK: 863 | sent
22.976 pkt: 864 | received
22.992 ACK: 864 | sent
23.008 pkt: 865 | received
23.023 ACK: 865 | sent
23.039 pkt: 866 | received
23.054 ACK: 866 | sent
23.070 pkt: 867 | received
23.101 ACK: 867 | sent
23.126 pkt: 868 | received
23.130 ACK: 868 | sent
23.146 pkt: 869 | received
23.161 ACK: 869 | sent
23.193 pkt: 870 | received
23.193 ACK: 870 | sent
23.224 pkt: 871 | received
23.239 ACK: 871 | sent
23.255 pkt: 872 | received
23.271 ACK: 872 | sent
23.302 pkt: 873 | received
23.318 ACK: 873 | sent
23.332 pkt: 874 | received
23.347 ACK: 874 | sent
23.363 pkt: 875 | received
23.379 ACK: 875 | sent
23.395 pkt: 876 | received
23.401 ACK: 876 | sent
23.443 pkt: 877 | received
23.450 ACK: 877 | sent
23.473 pkt: 878 | received
23.488 ACK: 878 | sent
23.519 pkt: 879 | received
23.535 ACK: 879 | sent
23.566 pkt: 880 | received
23.582 ACK: 880 | sent
23.613 pkt: 881 | received
23.613 ACK: 881 | sent
23.644 pkt: 882 | received
23.660 ACK: 882 | sent
23.676 pkt: 883 | received
23.691 ACK: 883 | sent
23.707 pkt: 884 | received
23.723 ACK: 884 | sent
23.754 pkt: 885 | received
23.754 ACK: 885 | sent
23.785 pkt: 886 | received
23.801 ACK: 886 | sent
23.832 pkt: 887 | received
23.832 ACK: 887 | sent
23.863 pkt: 888 | received
23.863 ACK: 888 | sent
23.910 pkt: 889 | received
23.926 ACK: 889 | sent
23.941 pkt: 890 | received
23.957 ACK: 890 | sent
23.988 pkt: 891 | received
23.988 ACK: 891 | sent
24.019 pkt: 892 | received
24.019 ACK: 892 | sent
24.051 pkt: 893 | received
24.066 ACK: 893 | sent
24.097 pkt: 894 | received
24.097 ACK: 894 | sent
24.129 pkt: 895 | received
24.144 ACK: 895 | sent
24.176 pkt: 896 | received
24.176 ACK: 896 | sent
24.207 pkt: 897 | received
24.207 ACK: 897 | sent
24.254 pkt: 898 | received
24.254 ACK: 898 | sent
24.301 pkt: 899 | received
24.301 ACK: 899 | sent
24.332 pkt: 900 | received
24.347 ACK: 900 | sent
24.379 pkt: 901 | received
24.398 ACK: 901 | sent
24.491 pkt: 902 | received
24.491 ACK: 902 | sent
24.506 pkt: 903 | received
24.506 ACK: 903 | sent
24.522 pkt: 904 | received
24.538 ACK: 904 | sent
24.553 pkt: 905 | received
24.553 ACK: 905 | sent
24.585 pkt: 906 | received
24.585 ACK: 906 | sent
24.600 pkt: 907 | received
24.613 ACK: 907 | sent
24.628 pkt: 908 | received
24.629 ACK: 908 | sent
24.645 pkt: 909 | received
24.645 ACK: 909 | sent
24.660 pkt: 910 | received
24.660 ACK: 910 | sent
24.676 pkt: 911 | received
24.691 ACK: 911 | sent
24.691 pkt: 912 | received
24.707 ACK: 912 | sent
24.723 pkt: 913 | received
24.738 ACK: 913 | sent
24.754 pkt: 914 | received
24.754 ACK: 914 | sent
24.785 pkt: 915 | received
24.801 ACK: 915 | sent
24.816 pkt: 916 | received
24.832 ACK: 916 | sent
24.848 pkt: 917 | received
24.863 ACK: 917 | sent
24.879 pkt: 918 | received
24.895 ACK: 918 | sent
24.910 pkt: 919 | received
24.910 ACK: 919 | sent
24.941 pkt: 920 | received
24.941 ACK: 920 | sent
24.973 pkt: 921 | received
24.988 ACK: 921 | sent
25.004 pkt: 922 | received
25.020 ACK: 922 | sent
25.035 pkt: 923 | received
25.051 ACK: 923 | sent
25.082 pkt: 924 | received
25.098 ACK: 924 | sent
25.129 pkt: 925 | received
25.145 ACK: 925 | sent
25.191 pkt: 926 | received
25.191 ACK: 926 | sent
25.223 pkt: 927 | received
25.238 ACK: 927 | sent
25.269 pkt: 928 | received
25.285 ACK: 928 | sent
25.316 pkt: 929 | received
25.332 ACK: 929 | sent
25.363 pkt: 930 | received
25.379 ACK: 930 | sent
25.412 pkt: 931 | received
25.419 ACK: 931 | sent
25.463 pkt: 932 | received
25.469 ACK: 932 | sent
25.589 pkt: 933 | received
25.589 ACK: 933 | sent
25.714 pkt: 934 | received
25.714 ACK: 934 | sent
25.839 pkt: 935 | received
25.839 ACK: 935 | sent
25.854 pkt: 936 | received
25.870 ACK: 936 | sent
25.886 pkt: 937 | received
25.886 ACK: 937 | sent
25.901 pkt: 938 | received
25.917 ACK: 938 | sent
25.917 pkt: 939 | received
25.933 ACK: 939 | sent
25.948 pkt: 940 | received
25.948 ACK: 940 | sent
25.964 pkt: 941 | received
25.979 ACK: 941 | sent
25.995 pkt: 942 | received
25.995 ACK: 942 | sent
26.011 pkt: 943 | received
26.011 ACK: 943 | sent
26.026 pkt: 944 | received
26.042 ACK: 944 | sent
26.057 pkt: 945 | received
26.057 ACK: 945 | sent
26.073 pkt: 946 | received
26.073 ACK: 946 | sent
26.089 pkt: 947 | received
26.104 ACK: 947 | sent
26.120 pkt: 948 | received
26.136 ACK: 948 | sent
26.148 pkt: 949 | received
26.148 ACK: 949 | sent
26.164 pkt: 950 | received
26.179 ACK: 950 | sent
26.195 pkt: 951 | received
26.195 ACK: 951 | sent
26.226 pkt: 952 | received
26.226 ACK: 952 | sent
26.242 pkt: 953 | received
26.242 ACK: 953 | sent
26.273 pkt: 954 | received
26.273 ACK: 954 | sent
26.289 pkt: 955 | received
26.304 ACK: 955 | sent
26.320 pkt: 956 | received
26.320 ACK: 956 | sent
26.336 pkt: 957 | received
26.336 ACK: 957 | sent
26.351 pkt: 958 | received
26.367 ACK: 958 | sent
26.367 pkt: 959 | received
26.388 ACK: 959 | sent
26.402 pkt: 960 | received
26.408 ACK: 960 | sent
26.408 pkt: 961 | received
26.423 ACK: 961 | sent
26.439 pkt: 962 | received
26.439 ACK: 962 | sent
26.455 pkt: 963 | received
26.455 ACK: 963 | sent
